Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Mouthfeel,Uniformity,Clean.Cup,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Robusta,Kiatkanya Juntarakumtorn,Thailand,Kiatkanya Juntarakumtorn,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"334 ,Moo. 3,Klang Wiang, Wiang Sa ,Nan, 55110",350,"Klang Wiang, Wiang Sa, Nan",Kiatkanya Juntarakumtorn,3,25 kg,Coffee Quality Institute,2023,"September 19th, 2024",Kiatkanya Juntarakumtorn,Mixed: unknown variety,Natural / Dry,,8.08,8.0,,,,,10.0,7.75,,83.42,0.093,4 full defects,0,Brownish,4 full defects,,,,,,,,
Robusta,Kiatkanya Juntarakumtorn,Thailand,Kiatkanya Juntarakumtorn,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"334 ,Moo. 3,Klang Wiang, Wiang Sa ,Nan, 55110",350,"Klang Wiang, Wiang Sa, Nan",Kiatkanya Juntarakumtorn,3,25 kg,Coffee Quality Institute,2024,"September 19th, 2024",Kiatkanya Juntarakumtorn,Mixed: unknown variety,Natural / Dry,,8.08,8.0,,,,,10.0,7.75,,83.42,0.093,4 full defects,0,Brownish,4 full defects,,,,,,,,
Robusta,Chawasit Tengtrairatana,Thailand,Uncle Kian Robusta Farm,1,Horizon Harvest,,Horizon Harvest,330,"Wiang Sa, Nan, Thailand",Horizon Harvest,1,20 kg,Specialty Coffee Institute of Thailand,2023,"October 29th, 2024",Chawasit Tengtrairatana,robusta,Natural / Dry,,8.08,7.75,,,,,10.0,7.83,,83.33,0.116,0 full defects,0,Green,5 full defects,,,,,,,,
Robusta,Chawasit Tengtrairatana,Thailand,Uncle Kian Robusta Farm,1,Horizon Harvest,,Horizon Harvest,330,"Wiang Sa, Nan, Thailand",Horizon Harvest,1,20 kg,Specialty Coffee Institute of Thailand,2024,"October 29th, 2024",Chawasit Tengtrairatana,robusta,Natural / Dry,,8.08,7.75,,,,,10.0,7.83,,83.33,0.116,0 full defects,0,Green,5 full defects,,,,,,,,
Robusta,s quality coffee lab (stone village),Vietnam,TAMBA,TAMBA 02 HONEY,DRY MILL,,S quality coffee lab (stone village),700-900,GIA LAI,TAMBA FARM,100,60 kg,STONE VILLAGE LAB VIETNAM,2023,"April 12th, 2024",s quality coffee lab (stone village),,Pulped natural / honey,,7.92,8.08,,,,,10.0,7.83,,83.25,0.12,0 full defects,0,Green,0 full defects,,,,,,,,
Robusta,s quality coffee lab (stone village),Vietnam,TAMBA,TAMBA 02 HONEY,DRY MILL,,S quality coffee lab (stone village),700-900,GIA LAI,TAMBA FARM,100,60 kg,STONE VILLAGE LAB VIETNAM,2024,"April 12th, 2024",s quality coffee lab (stone village),,Pulped natural / honey,,7.92,8.08,,,,,10.0,7.83,,83.25,0.12,0 full defects,0,Green,0 full defects,,,,,,,,
Robusta,Aunyarin Auamprasert,Thailand,Nancoff,Special Lot,Nancoff,,Nan Coff,1300,"Tha Wang Pha, Nan",Aunyarin Auamprasert,1,20 kg,Coffee Quality Institute,2023,"April 5th, 2024",Aunyarin Auamprasert,,Pulped natural / honey,,7.83,7.92,,,,,10.0,8.08,,83.17,0.108,0 full defects,0,Greenish,4 full defects,,,,,,,,
Robusta,Aunyarin Auamprasert,Thailand,Nancoff,Special Lot,Nancoff,,Nan Coff,1300,"Tha Wang Pha, Nan",Aunyarin Auamprasert,1,20 kg,Coffee Quality Institute,2024,"April 5th, 2024",Aunyarin Auamprasert,,Pulped natural / honey,,7.83,7.92,,,,,10.0,8.08,,83.17,0.108,0 full defects,0,Greenish,4 full defects,,,,,,,,
Robusta,PIROM COFFEE,Thailand,"Coffee Growers Cooperative Member Group, Mae Charim District",2023-2024,PIYADON,,"PBGT CO.,LTD",600-800,Nan,PIYADON,1,2 kg,Specialty Coffee Institute of Thailand,2023,"July 8th, 2024",PIROM COFFEE,Other,carbonic maceration,,8.0,7.67,,,,,10.0,7.92,,83.08,0.114,0 full defects,0,ํYellow-Green,2 full defects,,,,,,,,
Robusta,PIROM COFFEE,Thailand,"Coffee Growers Cooperative Member Group, Mae Charim District",2023-2024,PIYADON,,"PBGT CO.,LTD",600-800,Nan,PIYADON,1,2 kg,Specialty Coffee Institute of Thailand,2024,"July 8th, 2024",PIROM COFFEE,Other,carbonic maceration,,8.0,7.67,,,,,10.0,7.92,,83.08,0.114,0 full defects,0,ํYellow-Green,2 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,Mộc Chill Coffee,1,Mộc Chill Coffee,,Dancafe,900,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Nguyễn Hữu Thanh,33,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Danh Nguyen,Sẻ,Yellow Honey,,7.75,7.75,,,,,10.0,7.92,,82.92,0.099,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,Mộc Chill Coffee,1,Mộc Chill Coffee,,Dancafe,900,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Nguyễn Hữu Thanh,33,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Danh Nguyen,Sẻ,Yellow Honey,,7.75,7.75,,,,,10.0,7.92,,82.92,0.099,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Trương Công Thịnh,Vietnam,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,1,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,,TNHH MTV TM XNK TOÀN THỊNH,690,"Nhân Cơ, Đăk R'lấp, Đắk Nông",Trương Công Thịnh,83,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Trương Công Thịnh,Cũ,Natural (phơi giàn lưới),,7.83,7.83,,,,,10.0,7.83,,82.83,0.122,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Trương Công Thịnh,Vietnam,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,1,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,,TNHH MTV TM XNK TOÀN THỊNH,690,"Nhân Cơ, Đăk R'lấp, Đắk Nông",Trương Công Thịnh,83,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Trương Công Thịnh,Cũ,Natural (phơi giàn lưới),,7.83,7.83,,,,,10.0,7.83,,82.83,0.122,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Panithan Chokdee,Thailand,ST coffee,Special lot,.,,ST coffee,15,"Sawi, Chumphon",Panithan Chokdee,1,21 kg,Coffee Quality Institute,2023,"April 5th, 2024",Panithan Chokdee,,Natural / Dry,,7.75,7.75,,,,,10.0,7.75,,82.75,0.108,0 full defects,0,Yellow-Green,2 full defects,,,,,,,,
Robusta,Panithan Chokdee,Thailand,ST coffee,Special lot,.,,ST coffee,15,"Sawi, Chumphon",Panithan Chokdee,1,21 kg,Coffee Quality Institute,2024,"April 5th, 2024",Panithan Chokdee,,Natural / Dry,,7.75,7.75,,,,,10.0,7.75,,82.75,0.108,0 full defects,0,Yellow-Green,2 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,HTX Ba Cùng Hoà Phát,1,HTX Ba Cùng Hoà Phát,,Dancafe,800,"Đak Rô, Krong Nô, Đắk Nông",Hà Anh Tuấn,8,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Danh Nguyen,TR4,Natural / Dry,,7.83,7.67,,,,,10.0,7.83,,82.75,0.108,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,HTX Ba Cùng Hoà Phát,1,HTX Ba Cùng Hoà Phát,,Dancafe,800,"Đak Rô, Krong Nô, Đắk Nông",Hà Anh Tuấn,8,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Danh Nguyen,TR4,Natural / Dry,,7.83,7.67,,,,,10.0,7.83,,82.75,0.108,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Supaporn Pumnin,Thailand,Supaporn Pumnin,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"PUMMA FARM CO., LTD.",80,"Tha Sae, Tha Sae, Chumphon",Supaporn Pumnin,3,25 kg,Coffee Quality Institute,2023,"September 19th, 2024",Supaporn Pumnin,Mixed: unknown variety,Natural / Dry,,7.92,7.83,,,,,10.0,7.75,,82.67,0.094,1 full defects,0,Yellowish,5 full defects,,,,,,,,
Robusta,Supaporn Pumnin,Thailand,Supaporn Pumnin,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"PUMMA FARM CO., LTD.",80,"Tha Sae, Tha Sae, Chumphon",Supaporn Pumnin,3,25 kg,Coffee Quality Institute,2024,"September 19th, 2024",Supaporn Pumnin,Mixed: unknown variety,Natural / Dry,,7.92,7.83,,,,,10.0,7.75,,82.67,0.094,1 full defects,0,Yellowish,5 full defects,,,,,,,,
Robusta,Trần Minh Thuận,Vietnam,Thuận Nhiên farm,1,Thuận Nhiên farm,,Thuận Nhiên Farm,900,"Thôn 10, xã Tân Lâm, huyện Di Linh, tỉnh Lâm Đồng",Trần Minh Thuận,22,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Trần Minh Thuận,Mixed,Honey (Ver2),,7.83,7.83,,,,,10.0,7.83,,82.58,0.105,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Trần Minh Thuận,Vietnam,Thuận Nhiên farm,1,Thuận Nhiên farm,,Thuận Nhiên Farm,900,"Thôn 10, xã Tân Lâm, huyện Di Linh, tỉnh Lâm Đồng",Trần Minh Thuận,22,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Trần Minh Thuận,Mixed,Honey (Ver2),,7.83,7.83,,,,,10.0,7.83,,82.58,0.105,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,LUU VINH QUANG,Vietnam,Công ty TNHH SX & DV Tamba,1,Công ty TNHH SX & DV Tamba,,Tamba company,750,"Chư Păh , Gia Lai",Lưu Vinh Quang,1633,60 kg,HQJ Coffee School,2023,"July 12th, 2024",LUU VINH QUANG,TR4,Natural / Dry,,7.83,7.75,,,,,10.0,7.75,,82.5,0.1,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,LUU VINH QUANG,Vietnam,Công ty TNHH SX & DV Tamba,1,Công ty TNHH SX & DV Tamba,,Tamba company,750,"Chư Păh , Gia Lai",Lưu Vinh Quang,1633,60 kg,HQJ Coffee School,2024,"July 12th, 2024",LUU VINH QUANG,TR4,Natural / Dry,,7.83,7.75,,,,,10.0,7.75,,82.5,0.1,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Tran Thi Bich Ngoc,Vietnam,MORI FARM COFFEE,1,MORI FARM COFFEE,,Mori coffee,700,"Bàu Cạn, Chư Prong, Gia Lai",Trần Thị Bích Ngọc,283,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Tran Thi Bich Ngoc,TR4,Natural (Kefir),,7.83,7.75,,,,,10.0,7.92,,82.42,0.1,0 full defects,0,Yellow-Green,3 full defects,,,,,,,,
Robusta,Tran Thi Bich Ngoc,Vietnam,MORI FARM COFFEE,1,MORI FARM COFFEE,,Mori coffee,700,"Bàu Cạn, Chư Prong, Gia Lai",Trần Thị Bích Ngọc,283,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Tran Thi Bich Ngoc,TR4,Natural (Kefir),,7.83,7.75,,,,,10.0,7.92,,82.42,0.1,0 full defects,0,Yellow-Green,3 full defects,,,,,,,,
Robusta,"Ho Phuong Co.,LTD",Vietnam,"Ho Phuong Co.,LTD",HPR01,"Ho Phuong Co.,LTD",,"Ho Phuong Co.,LTD",900,Lam Ha District - Lam Dong Province,"Ho Phuong Co.,LTD",17,60 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2023,"May 30th, 2024","Ho Phuong Co.,LTD",Local Robusta,Natural / Dry,,7.83,7.75,,,,,10.0,7.67,,82.33,0.116,0 full defects,0,Yellow-Green,1 full defects,,,,,,,,
Robusta,"Ho Phuong Co.,LTD",Vietnam,"Ho Phuong Co.,LTD",HPR01,"Ho Phuong Co.,LTD",,"Ho Phuong Co.,LTD",900,Lam Ha District - Lam Dong Province,"Ho Phuong Co.,LTD",17,60 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2024,"May 30th, 2024","Ho Phuong Co.,LTD",Local Robusta,Natural / Dry,,7.83,7.75,,,,,10.0,7.67,,82.33,0.116,0 full defects,0,Yellow-Green,1 full defects,,,,,,,,
Robusta,Trần Thị Thuỷ Tiên,Vietnam,Godere,GNRO0124UN,Godere Farm,,Công Ty Cổ Phần Godere,650,"Bon Srê Ú, Đắk Nia",Công ty Cổ phần Godere,335,60 kg,HQJ Coffee School,2023,"July 31st, 2024",Trần Thị Thuỷ Tiên,TR4,Natural / Dry,,7.58,7.83,,,,,10.0,7.75,,82.33,0.115,0 full defects,0,Yellowish,0 full defects,,,,,,,,
Robusta,Trần Thị Thuỷ Tiên,Vietnam,Godere,GNRO0124UN,Godere Farm,,Công Ty Cổ Phần Godere,650,"Bon Srê Ú, Đắk Nia",Công ty Cổ phần Godere,335,60 kg,HQJ Coffee School,2024,"July 31st, 2024",Trần Thị Thuỷ Tiên,TR4,Natural / Dry,,7.58,7.83,,,,,10.0,7.75,,82.33,0.115,0 full defects,0,Yellowish,0 full defects,,,,,,,,
Robusta,Kittikhom Kanyatee,Thailand,PHU THUB CHANG COFFEE,Special lot,PHU THUB CHANG COFFEE,,PHU THUB CHANG COFFEE,,"Pak chom, Loei",Kittikhom Kanyatee,1,16 kg,Coffee Quality Institute,2019,"April 5th, 2024",Kittikhom Kanyatee,Other,Natural / Dry,,7.92,7.58,,,,,10.0,7.58,,82.25,0.102,0 full defects,0,Greenish,0 full defects,,,,,,,,
Robusta,Kittikhom Kanyatee,Thailand,PHU THUB CHANG COFFEE,Special lot,PHU THUB CHANG COFFEE,,PHU THUB CHANG COFFEE,,"Pak chom, Loei",Kittikhom Kanyatee,1,16 kg,Coffee Quality Institute,2020,"April 5th, 2024",Kittikhom Kanyatee,Other,Natural / Dry,,7.92,7.58,,,,,10.0,7.58,,82.25,0.102,0 full defects,0,Greenish,0 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,Thành Vinh Farm,1,Thành Vinh Farm,,Dancafe,700,"Jang Play 3, Trường Xuân, Đak Song, Đak Nông",Thành Vinh Farm,83,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Danh Nguyen,TR4,Pulped natural / honey,,7.75,7.83,,,,,10.0,7.75,,82.25,0.114,0 full defects,0,Yellow-Green,1 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,Thành Vinh Farm,1,Thành Vinh Farm,,Dancafe,700,"Jang Play 3, Trường Xuân, Đak Song, Đak Nông",Thành Vinh Farm,83,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Danh Nguyen,TR4,Pulped natural / honey,,7.75,7.83,,,,,10.0,7.75,,82.25,0.114,0 full defects,0,Yellow-Green,1 full defects,,,,,,,,
Robusta,vu manh duong,Vietnam,MẠNH ĐƯỜNG FARM,1,MẠNH ĐƯỜNG FARM,,manh duong farm,500,"Buôn Trấp, Krong Ana, Đắk Lắk",Vũ Mạnh Đường,15,60 kg,HQJ Coffee School,2023,"July 12th, 2024",vu manh duong,Mixed,Natural / Dry,,7.83,7.75,,,,,10.0,7.83,,82.17,0.122,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,vu manh duong,Vietnam,MẠNH ĐƯỜNG FARM,1,MẠNH ĐƯỜNG FARM,,manh duong farm,500,"Buôn Trấp, Krong Ana, Đắk Lắk",Vũ Mạnh Đường,15,60 kg,HQJ Coffee School,2024,"July 12th, 2024",vu manh duong,Mixed,Natural / Dry,,7.83,7.75,,,,,10.0,7.83,,82.17,0.122,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Wiboon Sripan,Thailand,Wiboon Sripan,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"422 ,Moo. 4,Khuan Kalong, Khuan Kalong ,Satun, 91130",36,"Khuan Kalong, Khuan Kalong, Satun",Wiboon Sripan,3,25 kg,Coffee Quality Institute,2023,"September 19th, 2024",Wiboon Sripan,Mixed: unknown variety,Natural / Dry,,7.83,7.75,,,,,10.0,7.67,,82.17,0.085,1 full defects,0,Brownish,4 full defects,,,,,,,,
Robusta,Wiboon Sripan,Thailand,Wiboon Sripan,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"422 ,Moo. 4,Khuan Kalong, Khuan Kalong ,Satun, 91130",36,"Khuan Kalong, Khuan Kalong, Satun",Wiboon Sripan,3,25 kg,Coffee Quality Institute,2024,"September 19th, 2024",Wiboon Sripan,Mixed: unknown variety,Natural / Dry,,7.83,7.75,,,,,10.0,7.67,,82.17,0.085,1 full defects,0,Brownish,4 full defects,,,,,,,,
Robusta,Vo Ngoc Dung,Vietnam,Dũng Farm,1,Dũng Farm,,Dalanka Forest Farm,700,"Phú Xuân, Krông Năng, Đăk Lăk",Dalanka Forest Farm,8,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Vo Ngoc Dung,Cũ,Natural / Dry,,7.75,7.67,,,,,10.0,7.75,,82.17,0.116,0 full defects,0,Yellow-Green,1 full defects,,,,,,,,
Robusta,Vo Ngoc Dung,Vietnam,Dũng Farm,1,Dũng Farm,,Dalanka Forest Farm,700,"Phú Xuân, Krông Năng, Đăk Lăk",Dalanka Forest Farm,8,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Vo Ngoc Dung,Cũ,Natural / Dry,,7.75,7.67,,,,,10.0,7.75,,82.17,0.116,0 full defects,0,Yellow-Green,1 full defects,,,,,,,,
Robusta,Alexis Rodriguez,Guatemala,,NHOL-2893/24,,,Nestle Nespresso SA,,,,69,275 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023,"September 10th, 2024",Alexis Rodriguez,Robusta,Washed / Wet,,7.75,7.67,,,,,10.0,7.75,,82.08,0.106,0 full defects,0,Greenish,1 full defects,,,,,,,,
Robusta,Nguyen Thi Thu Thao,Vietnam,Nghĩa Farm,1,Nghĩa Farm,,nghiafarm,880,"thôn 5, Nghĩa Hưng, Chư ăh, Gia Lai",Nguyễn Thị Thu Thảo,20,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Nguyen Thi Thu Thao,Sẻ,Pulped natural / honey,,7.75,7.83,,,,,10.0,7.67,,82.08,0.117,0 full defects,0,Yellow-Green,1 full defects,,,,,,,,
Robusta,Nguyen Thi Thu Thao,Vietnam,Nghĩa Farm,1,Nghĩa Farm,,nghiafarm,880,"thôn 5, Nghĩa Hưng, Chư ăh, Gia Lai",Nguyễn Thị Thu Thảo,20,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Nguyen Thi Thu Thao,Sẻ,Pulped natural / honey,,7.75,7.83,,,,,10.0,7.67,,82.08,0.117,0 full defects,0,Yellow-Green,1 full defects,,,,,,,,
Robusta,Nipaporn Kamkasem,Thailand,Nipaporn Kamkasem,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"189 ,Moo. 7,Dan Sai, Dan Sai ,Loei, 42120",789,"Dan Sai, Dan Sai, Loei",Nipaporn Kamkasem,3,25 kg,Coffee Quality Institute,2023,"September 19th, 2024",Nipaporn Kamkasem,Mixed: unknown variety,Natural / Dry,,7.92,7.75,,,,,10.0,7.83,,82.08,0.117,7 full defects,0,Brownish,3 full defects,,,,,,,,
Robusta,Nipaporn Kamkasem,Thailand,Nipaporn Kamkasem,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"189 ,Moo. 7,Dan Sai, Dan Sai ,Loei, 42120",789,"Dan Sai, Dan Sai, Loei",Nipaporn Kamkasem,3,25 kg,Coffee Quality Institute,2024,"September 19th, 2024",Nipaporn Kamkasem,Mixed: unknown variety,Natural / Dry,,7.92,7.75,,,,,10.0,7.83,,82.08,0.117,7 full defects,0,Brownish,3 full defects,,,,,,,,
Robusta,Mai Nguyen Quoc Thang,Vietnam,Like Farm,1,Like Farm,,Hợp tác xã Liên Kết,950,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Mai Nguyễn Quốc Thắng,183,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Mai Nguyen Quoc Thang,TR4,Pulped natural / honey,,7.75,7.75,,,,,10.0,7.75,,82.0,0.119,0 full defects,0,Brownish,5 full defects,,,,,,,,
Robusta,Mai Nguyen Quoc Thang,Vietnam,Like Farm,1,Like Farm,,Hợp tác xã Liên Kết,950,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Mai Nguyễn Quốc Thắng,183,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Mai Nguyen Quoc Thang,TR4,Pulped natural / honey,,7.75,7.75,,,,,10.0,7.75,,82.0,0.119,0 full defects,0,Brownish,5 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,Mộc Chill Coffee,1,Mộc Chill Coffee,,Dancafe,900,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Nguyễn Hữu Thanh,17,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Danh Nguyen,Sẻ,Natural / Dry,,7.75,7.75,,,,,10.0,7.75,,82.0,0.107,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Danh Nguyen,Vietnam,Mộc Chill Coffee,1,Mộc Chill Coffee,,Dancafe,900,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Nguyễn Hữu Thanh,17,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Danh Nguyen,Sẻ,Natural / Dry,,7.75,7.75,,,,,10.0,7.75,,82.0,0.107,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Saya Miyazaki,India,Papakuchi Coffee,Papakuchi Robusta Natural -14/1593/2024/002,Laxmi Coffee Curing Works Ltd.,14/1593/2024/002,"Saka no Tochu Co., Ltd.",1150,"Western Ghats, India",Pavan,150,30 kg,Kim Kiljin Coffee Lab,2023,"September 9th, 2024",Saya Miyazaki,Old peridinia,Natural / Dry,,7.75,7.75,,,,,10.0,7.75,,81.92,0.108,0 full defects,2,Green,0 full defects,,,,,,,,
Robusta,Saya Miyazaki,India,Papakuchi Coffee,Papakuchi Robusta Natural -14/1593/2024/002,Laxmi Coffee Curing Works Ltd.,14/1593/2024/002,"Saka no Tochu Co., Ltd.",1150,"Western Ghats, India",Pavan,150,30 kg,Kim Kiljin Coffee Lab,2024,"September 9th, 2024",Saya Miyazaki,Old peridinia,Natural / Dry,,7.75,7.75,,,,,10.0,7.75,,81.92,0.108,0 full defects,2,Green,0 full defects,,,,,,,,
Robusta,Phùng Văn Thịnh,Vietnam,Hưng Thịnh Farm,1,Hưng Thịnh Farm,,Hưng Thịnh Farm,750,"Thôn 2, Đắk Buk Sor, Tuy Đức, Đắk Nông",Phùng Văn Thịnh,33,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Phùng Văn Thịnh,Mixed,Pulped natural / honey,,7.75,7.75,,,,,10.0,7.58,,81.75,0.103,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Phùng Văn Thịnh,Vietnam,Hưng Thịnh Farm,1,Hưng Thịnh Farm,,Hưng Thịnh Farm,750,"Thôn 2, Đắk Buk Sor, Tuy Đức, Đắk Nông",Phùng Văn Thịnh,33,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Phùng Văn Thịnh,Mixed,Pulped natural / honey,,7.75,7.75,,,,,10.0,7.58,,81.75,0.103,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Pavadee Thongbunchoo,Thailand,Grandma Was ่s Diversified Garden,C237,9.8,,Grandma Was' s Diversified Garden,12,Southern region of Thailand,Pavadee Thongbunchoo,1,10 kg,Specialty Coffee Institute of Thailand,2023,"November 7th, 2024",Pavadee Thongbunchoo,,Natural / Dry,,7.92,7.67,,,,,10.0,7.58,,81.75,0.098,0 full defects,0,yellowish,0 full defects,,,,,,,,
Robusta,Pavadee Thongbunchoo,Thailand,Grandma Was ่s Diversified Garden,C237,9.8,,Grandma Was' s Diversified Garden,12,Southern region of Thailand,Pavadee Thongbunchoo,1,10 kg,Specialty Coffee Institute of Thailand,2024,"November 7th, 2024",Pavadee Thongbunchoo,,Natural / Dry,,7.92,7.67,,,,,10.0,7.58,,81.75,0.098,0 full defects,0,yellowish,0 full defects,,,,,,,,
Robusta,KIEU VAN HAO,Vietnam,Hao Farm,1,Hao Farm,,individual,700,"Jang Play 3, Trường Xuân, Đak Song, Đak Nông",Kiều Văn Hảo,33,60 kg,HQJ Coffee School,2023,"July 12th, 2024",KIEU VAN HAO,"Sẻ, TR4",Pulped natural / honey,,7.75,7.75,,,,,10.0,7.67,,81.67,0.114,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,KIEU VAN HAO,Vietnam,Hao Farm,1,Hao Farm,,individual,700,"Jang Play 3, Trường Xuân, Đak Song, Đak Nông",Kiều Văn Hảo,33,60 kg,HQJ Coffee School,2024,"July 12th, 2024",KIEU VAN HAO,"Sẻ, TR4",Pulped natural / honey,,7.75,7.75,,,,,10.0,7.67,,81.67,0.114,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Aico Van,Vietnam,Van Coffee Farm,1,Van Coffee Farm,,Van Coffee Farm,850,Lâm Đồng,Aico Van,1,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Aico Van,Thiện Trường,Washed / Wet,,7.75,7.58,,,,,10.0,7.67,,81.67,0.109,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
